0	0 0 0.0437155 2.43172 0.75157 1 1 0.227163 1.598 0.605657 2 2 0.413126 3.80791 1.09647 3 3 0.976599 1.90272 1.23283 4 4 1.074 3.19065 1.25471 5 5 1.19542 4.92488 1.98269 6 6 1.37995 0.615442 2.25324 7 7 1.83043 2.75082 1.00792 8 8 2.16842 4.09246 1.38883 9 9 2.28805 1.85086 0.944639 10 10 2.57844 2.59465 0.465243 11 11 2.63344 1.17618 0.917682 12 12 2.57402 5.1651 1.55693 13 13 2.67807 3.28607 0.556719 14 14 2.69376 0.181266 1.2406 15 15 3.36453 2.88693 0.572533 16 16 3.31023 3.95917 0.995172 17 17 3.37539 2.07009 0.820225 18 18 3.42245 0.705944 0.691293 19 19 3.621 5.33301 1.07539 20 20 3.93388 0.947779 0.883845 21 21 4.07955 3.39374 0.91022 22 22 4.20384 5.21866 0.514715 23 23 4.37533 2.25018 1.44724 24 24 4.28819 4.36925 0.687452 25 25 4.71631 1.00756 1.15549 26 26 4.68996 5.06286 0.299785 27 27 4.89 3.66585 0.903929 28 28 4.73257 5.95995 0.948374 29 29 5.05782 4.62821 0.410593 30 30 5.31918 5.33648 0.541809 31 31 5.48056 2.95061 1.24007 32 32 5.51395 1.48932 1.09183 33 33 5.73955 4.33036 0.912634 34 34 5.93974 0.392423 1.48725 35 35 6.19135 5.38151 1.1544 
1	0 0 0.22409 2.39288 0.766679 1 1 0.434873 1.53239 0.750146 2 2 0.604833 3.85615 0.785746 3 3 1.12613 1.91585 1.00255 4 4 1.07515 3.25318 1.06401 5 5 1.3086 4.74888 1.07035 6 6 1.45925 0.73981 1.1157 7 7 1.75799 2.80849 0.97191 8 8 2.05782 4.10987 1.08616 9 9 2.14314 1.78753 0.941406 10 10 2.58893 2.54479 0.679397 11 11 2.53266 1.1321 0.892788 12 12 2.45816 4.98623 1.01799 13 13 2.60988 3.38359 0.758942 14 14 2.5281 0.305905 0.784778 15 15 3.44508 2.88364 0.809635 16 16 3.23722 4.06605 1.00865 17 17 3.39582 1.94647 0.948459 18 18 3.22101 0.539075 0.433023 19 19 3.50533 5.23885 0.88717 20 20 4.04355 1.06312 0.798908 21 21 4.08606 3.36936 0.830126 22 22 4.11853 5.18314 0.475953 23 23 4.42228 2.2651 1.13576 24 24 4.1831 4.33111 0.821979 25 25 4.77683 1.07418 0.840946 26 26 4.69084 5.05509 0.401576 27 27 4.89215 3.58864 0.866822 28 28 4.4288 5.82471 0.59113 29 29 5.06531 4.53369 0.529477 30 30 5.38351 5.34554 0.687245 31 31 5.346 2.9302 0.898777 32 32 5.59995 1.40267 0.445048 33 33 5.73074 4.32314 0.813269 34 34 5.82205 0.513039 0.854295 35 35 6.16407 5.34382 0.676623 36 36 4.97851 6.08251 0.420888 37 37 3.50536 0.925572 0.513186 38 38 5.15195 1.65928 0.497873 
2	0 0 0.355306 2.37227 0.711759 1 1 0.561539 1.52207 0.700423 2 2 0.698203 3.85281 0.648821 3 3 1.19041 1.98665 0.87481 4 4 1.10617 3.25251 0.938434 5 5 1.37427 4.60911 0.880297 6 6 1.52181 0.853581 0.936167 7 7 1.76783 2.83259 0.894149 8 8 2.04596 4.04573 0.920945 9 9 2.10665 1.79379 0.873814 10 10 2.60402 2.52354 0.736231 11 11 2.54276 1.16325 0.80275 12 12 2.43752 4.87842 0.868768 13 13 2.59589 3.39801 0.767043 14 14 2.46308 0.367782 0.642629 15 15 3.40822 2.84716 0.766175 16 16 3.21595 4.07893 0.972569 17 17 3.37197 1.91338 0.911093 18 18 3.14081 0.541252 0.449462 19 19 3.45018 5.15175 0.79382 20 20 4.08204 1.14989 0.718276 21 21 3.85739 3.22338 0.472406 22 22 4.07765 5.11412 0.410632 23 23 4.37926 2.30711 1.02484 24 24 4.14515 4.33717 0.77086 25 25 4.76421 1.08554 0.677555 26 26 4.6884 5.01254 0.436776 27 27 4.90886 3.58772 0.737857 28 28 4.38145 5.6379 0.471704 29 29 5.05364 4.48249 0.561619 30 30 5.3961 5.33407 0.693022 31 31 5.27311 2.92698 0.801383 32 32 5.63891 1.4394 0.457693 33 33 5.71124 4.30399 0.775241 34 34 5.73166 0.604307 0.746037 35 35 6.13892 5.31755 0.604463 36 36 5.00923 6.05906 0.434163 37 37 3.50246 0.972386 0.593336 38 38 5.09174 1.71681 0.668071 39 39 4.41573 6.07341 0.272337 40 40 4.24569 3.49785 0.547669 
3	0 0 0.452145 2.36406 0.667695 1 1 0.651562 1.52313 0.657087 2 2 0.757647 3.84641 0.577916 3 3 1.24084 2.04077 0.802176 4 4 1.1372 3.23965 0.868965 5 5 1.41401 4.51285 0.804131 6 6 1.53455 0.955679 0.829776 7 7 1.79799 2.84245 0.828011 8 8 2.05432 3.98385 0.839094 9 9 2.10655 1.81753 0.81556 10 10 2.61009 2.51128 0.70836 11 11 2.55212 1.17991 0.76731 12 12 2.43684 4.8015 0.80672 13 13 2.59514 3.3856 0.724356 14 14 2.704 0.316449 0.384981 15 15 3.37198 2.82022 0.738287 16 16 3.20549 4.05595 0.937812 17 17 3.34644 1.90137 0.871394 18 18 3.13853 0.574205 0.392332 19 19 3.4184 5.08563 0.761935 20 20 4.08334 1.21329 0.688115 21 21 3.8183 3.19077 0.498243 22 22 4.06151 5.06688 0.380779 23 23 4.35128 2.33215 0.994168 24 24 4.12434 4.32977 0.744395 25 25 4.76326 1.11901 0.6496 26 26 4.68424 4.98247 0.450013 27 27 4.90123 3.58867 0.702726 28 28 4.35747 5.61617 0.545674 29 29 5.04408 4.45444 0.553999 30 30 5.39164 5.31735 0.689077 31 31 5.2357 2.92611 0.764087 32 32 5.64997 1.46119 0.445523 33 33 5.69515 4.28867 0.756143 34 34 5.66828 0.673728 0.706216 35 35 6.11384 5.28885 0.57647 36 36 5.01878 6.03705 0.458202 37 37 3.48729 1.01354 0.583318 38 38 5.07164 1.78448 0.684026 39 39 4.40824 6.12423 0.281482 40 40 4.22354 3.51179 0.581476 41 41 2.15116 0.464696 0.369259 
4	0 0 0.22142 2.24217 0.342214 1 1 0.693147 1.55288 0.666385 2 2 0.800207 3.84139 0.530636 3 3 1.31534 2.06488 0.71591 4 4 1.19145 3.25278 0.792979 5 5 1.44404 4.44251 0.759532 6 6 1.54108 1.03831 0.77675 7 7 1.83615 2.8471 0.764679 8 8 2.07092 3.93366 0.785106 9 9 2.12594 1.84087 0.762754 10 10 2.61798 2.50382 0.668137 11 11 2.5635 1.19267 0.737581 12 12 2.44325 4.7404 0.771108 13 13 2.60292 3.36535 0.680881 14 14 2.69631 0.310183 0.424924 15 15 3.35213 2.80297 0.715217 16 16 3.19895 4.02665 0.90757 17 17 3.32722 1.9006 0.839344 18 18 3.14063 0.599591 0.369877 19 19 3.39915 5.033 0.745751 20 20 4.07779 1.26861 0.666352 21 21 3.79493 3.17148 0.496588 22 22 4.05228 5.0326 0.368362 23 23 4.33153 2.3523 0.974948 24 24 4.11136 4.31452 0.728062 25 25 4.75606 1.16024 0.634961 26 26 4.67699 4.96199 0.454343 27 27 4.88335 3.58734 0.688371 28 28 4.33799 5.5992 0.57885 29 29 5.03306 4.43523 0.544197 30 30 5.37939 5.3001 0.683966 31 31 5.21244 2.93024 0.747056 32 32 5.65489 1.48293 0.43081 33 33 5.67858 4.27156 0.745751 34 34 5.61924 0.73072 0.68225 35 35 6.08874 5.25756 0.559889 36 36 5.01992 6.0218 0.475913 37 37 3.47706 1.05038 0.56225 38 38 5.06392 1.83814 0.683808 39 39 4.40023 6.1507 0.301555 40 40 4.1978 3.5148 0.580653 41 41 2.11656 0.518051 0.406874 42 42 0.709934 2.48081 0.483206 
5	0 0 0.227359 2.21587 0.369706 1 1 0.686145 1.5864 0.624083 2 2 0.831613 3.83818 0.494358 3 3 1.37291 2.06719 0.719232 4 4 1.21402 3.24321 0.73612 5 5 1.44648 4.40986 0.681534 6 6 1.26169 1.08949 0.450352 7 7 1.87207 2.86229 0.73676 8 8 2.33818 3.87598 0.43296 9 9 2.17224 1.87878 0.692836 10 10 2.62984 2.50379 0.620944 11 11 2.60399 1.20306 0.681334 12 12 2.44681 4.68941 0.751772 13 13 2.63872 3.32458 0.60184 14 14 2.69129 0.304279 0.439297 15 15 3.34301 2.79372 0.681897 16 16 3.21119 3.99993 0.860359 17 17 3.29304 1.92257 0.774633 18 18 3.14114 0.617345 0.36024 19 19 3.38726 4.99003 0.732439 20 20 4.12132 0.975271 0.345634 21 21 3.77812 3.16021 0.480731 22 22 4.04402 5.00116 0.357629 23 23 4.32818 2.39999 0.923669 24 24 4.10352 4.29822 0.712458 25 25 4.74493 1.19951 0.632987 26 26 4.66868 4.94257 0.450016 27 27 4.86471 3.58474 0.677512 28 28 4.33305 5.557 0.558057 29 29 5.02126 4.42009 0.535332 30 30 5.3637 5.28433 0.679909 31 31 5.20023 2.93833 0.731509 32 32 5.65855 1.50452 0.419595 33 33 5.66163 4.25304 0.738572 34 34 5.57915 0.780539 0.663332 35 35 6.06399 5.22522 0.548387 36 36 4.999 6.02695 0.517594 37 37 3.47035 1.09405 0.551929 38 38 5.06419 1.88138 0.677867 39 39 4.37875 6.00416 0.171691 40 40 4.17529 3.51472 0.569933 41 41 2.13926 0.53039 0.373416 42 42 0.74863 2.5038 0.528921 43 43 1.78259 1.06988 0.52717 44 44 4.38107 6.31512 0.177399 45 45 4.03147 1.59224 0.441693 46 46 1.84424 3.91049 0.441206 
6	0 0 0.212821 2.19454 0.360137 1 1 0.689221 1.62121 0.618444 2 2 0.84538 3.83691 0.458105 3 3 1.42322 2.06401 0.691645 4 4 1.22847 3.23872 0.68198 5 5 1.43455 4.39628 0.636548 6 6 1.22739 1.11107 0.483692 7 7 1.90442 2.88276 0.72108 8 8 2.39669 3.84791 0.492648 9 9 2.2014 1.90218 0.664844 10 10 2.63984 2.50421 0.577263 11 11 2.627 1.20666 0.657042 12 12 2.44679 4.64961 0.740036 13 13 2.6819 3.28143 0.546228 14 14 2.69148 0.298764 0.442938 15 15 3.34565 2.78648 0.641167 16 16 3.23427 3.98064 0.811538 17 17 3.27093 1.94233 0.738588 18 18 3.14357 0.629625 0.353237 19 19 3.38086 4.95712 0.717806 20 20 4.13121 0.949742 0.392776 21 21 3.76926 3.15847 0.461747 22 22 4.03758 4.97256 0.345679 23 23 4.328 2.43294 0.889497 24 24 4.10177 4.29449 0.674345 25 25 4.73725 1.23882 0.627254 26 26 4.66033 4.92365 0.442248 27 27 4.84745 3.58493 0.668172 28 28 4.32386 5.52738 0.559554 29 29 5.01052 4.40722 0.525603 30 30 5.34649 5.27021 0.676555 31 31 5.19693 2.94918 0.716808 32 32 5.75068 1.33736 0.175751 33 33 5.6453 4.23425 0.732181 34 34 5.54151 0.82414 0.64522 35 35 6.03972 5.19305 0.540062 36 36 4.98547 6.02553 0.536117 37 37 3.46697 1.12452 0.543944 38 38 5.06192 1.92666 0.653355 39 39 4.34066 5.99323 0.190258 40 40 4.27591 3.27232 0.261779 41 41 2.15158 0.552342 0.366577 42 42 0.577423 2.45429 0.265292 43 43 1.80562 1.11327 0.567517 44 44 4.39978 6.34467 0.19625 45 45 4.02231 1.63981 0.506287 46 46 1.82531 3.88439 0.495777 47 47 0.931926 2.55928 0.343913 48 48 5.59268 1.65426 0.263226 49 49 4.06357 3.72171 0.31823 
7	0 0 0.181639 2.17103 0.337379 1 1 0.691813 1.63378 0.637219 2 2 0.851259 3.84153 0.427605 3 3 1.44678 2.03982 0.598622 4 4 1.21221 3.25678 0.60532 5 5 1.43382 4.37742 0.627672 6 6 1.16282 0.923583 0.311768 7 7 1.70294 2.798 0.416329 8 8 2.44089 3.84123 0.485998 9 9 2.19501 1.91821 0.6345 10 10 2.50039 2.43705 0.31962 11 11 2.64032 1.21003 0.644798 12 12 2.42105 4.60813 0.697355 13 13 2.73403 3.25145 0.504862 14 14 2.69169 0.296352 0.446587 15 15 3.38257 2.78871 0.570837 16 16 3.23359 3.94588 0.736346 17 17 3.24701 1.95177 0.727799 18 18 3.14759 0.637679 0.350171 19 19 3.24736 4.73408 0.490499 20 20 4.13636 0.937886 0.42864 21 21 3.76804 3.1643 0.444302 22 22 4.02446 4.93725 0.346805 23 23 4.32584 2.43481 0.849087 24 24 4.11317 4.30251 0.607898 25 25 4.72441 1.27633 0.61868 26 26 4.65973 4.91126 0.436202 27 27 4.83753 3.59512 0.655792 28 28 4.32652 5.50858 0.539759 29 29 5.00274 4.3947 0.50554 30 30 5.45944 5.08098 0.360231 31 31 5.19925 2.96276 0.700364 32 32 5.79436 1.29778 0.133961 33 33 5.63203 4.21205 0.719595 34 34 5.50203 0.865999 0.635027 35 35 6.02643 5.16027 0.516775 36 36 4.97252 6.0267 0.535486 37 37 3.46676 1.14537 0.541773 38 38 5.05716 1.97052 0.632673 39 39 4.32442 5.89709 0.108868 40 40 4.30603 3.21442 0.279259 41 41 2.15774 0.574755 0.368134 42 42 0.547386 2.45006 0.287367 43 43 1.81388 1.13839 0.583073 44 44 4.41157 6.36801 0.212478 45 45 4.01414 1.6664 0.52461 46 46 1.82392 3.83306 0.535202 47 47 1.02165 2.38085 0.22019 48 48 5.59793 1.6525 0.338815 49 49 4.04132 3.73812 0.383938 50 50 2.11973 2.99006 0.41827 51 51 2.88834 2.56013 0.271346 52 52 1.26597 1.36971 0.236073 53 53 3.54122 5.21335 0.337164 54 54 0.869848 2.77677 0.186304 55 55 5.20441 5.43972 0.345653 56 56 4.30151 6.08712 0.102706 
8	0 0 0.153048 2.11658 0.297284 1 1 0.679826 1.61862 0.622773 2 2 0.850742 3.8526 0.402349 3 3 1.48131 1.97681 0.50394 4 4 1.19624 3.30372 0.555604 5 5 1.43541 4.35915 0.62147 6 6 1.14233 0.919838 0.377237 7 7 1.66487 2.77395 0.475878 8 8 2.46397 3.83371 0.460592 9 9 2.20125 1.93562 0.616885 10 10 2.53078 2.43173 0.336048 11 11 2.64761 1.21392 0.637595 12 12 2.39678 4.57108 0.678748 13 13 2.82622 3.07223 0.265996 14 14 2.69096 0.296518 0.450711 15 15 3.42249 2.78418 0.522875 16 16 3.23623 3.9115 0.706967 17 17 3.23474 1.95577 0.714935 18 18 3.15178 0.643116 0.34957 19 19 3.2379 4.71103 0.565734 20 20 4.11534 0.919168 0.420798 21 21 3.77907 3.16378 0.421308 22 22 4.00384 4.91059 0.355159 23 23 4.3283 2.43906 0.819493 24 24 4.10556 4.29777 0.570027 25 25 4.55301 1.16896 0.301752 26 26 4.66616 4.92109 0.422993 27 27 4.83242 3.60897 0.655668 28 28 4.32384 5.48874 0.49248 29 29 5.1739 4.2903 0.251735 30 30 5.46035 5.02899 0.477472 31 31 5.20626 2.97517 0.685389 32 32 5.822 1.27816 0.108636 33 33 5.65288 4.16196 0.661589 34 34 5.49544 0.901513 0.596173 35 35 6.04841 5.11778 0.469498 36 36 4.93077 6.06122 0.514131 37 37 3.46598 1.15996 0.539096 38 38 5.07851 2.02628 0.590876 39 39 4.2969 5.88919 0.117065 40 40 4.32646 3.18581 0.288878 41 41 2.16024 0.591811 0.371615 42 42 0.485865 2.32893 0.210143 43 43 1.82195 1.15078 0.581748 44 44 4.42213 6.40449 0.203286 45 45 4.01185 1.68949 0.535268 46 46 1.8289 3.79384 0.540955 47 47 1.05881 2.39206 0.346151 48 48 5.61731 1.6604 0.371739 49 49 4.03687 3.73141 0.401476 50 50 2.14746 3.00553 0.457701 51 51 2.94857 2.56158 0.252816 52 52 1.2754 1.40736 0.238457 53 53 3.55466 5.27281 0.364007 54 54 0.843069 2.84334 0.173662 55 55 5.16458 5.49509 0.383862 56 56 4.29386 6.11502 0.0999816 57 57 0.598927 2.62548 0.123595 58 58 4.83615 4.44294 0.284063 59 59 4.83959 1.41638 0.413186 60 60 2.71084 3.39794 0.234706 
9	0 0 0.133548 2.07627 0.286441 1 1 0.669145 1.60881 0.617265 2 2 0.848049 3.86619 0.385255 3 3 1.49816 1.95078 0.48283 4 4 1.19055 3.33053 0.547263 5 5 1.43794 4.34462 0.614291 6 6 1.12821 0.918347 0.413053 7 7 1.66123 2.75974 0.49549 8 8 2.4654 3.84757 0.418124 9 9 2.21084 1.94898 0.608395 10 10 2.56848 2.41971 0.347419 11 11 2.65215 1.21696 0.630969 12 12 2.38466 4.54445 0.669367 13 13 2.8566 3.06597 0.31847 14 14 2.68961 0.297996 0.453996 15 15 3.44788 2.75901 0.507646 16 16 3.23914 3.87997 0.708529 17 17 3.23613 1.94644 0.686742 18 18 3.15452 0.646541 0.34885 19 19 3.22716 4.69891 0.589542 20 20 4.08043 0.897933 0.402461 21 21 3.79196 3.15878 0.405091 22 22 3.98321 4.90019 0.360029 23 23 4.32778 2.44002 0.779972 24 24 4.08792 4.29442 0.559045 25 25 4.51971 1.1265 0.298906 26 26 4.66283 4.93257 0.41995 27 27 4.83352 3.62916 0.638088 28 28 4.30867 5.47652 0.46037 29 29 5.20447 4.26988 0.252991 30 30 5.44985 4.98981 0.523855 31 31 5.21137 2.99201 0.680315 32 32 5.84415 1.27012 0.0896734 33 33 5.67703 4.11993 0.647962 34 34 5.51384 0.903929 0.539502 35 35 6.05417 5.07711 0.466431 36 36 4.71903 5.96093 0.254258 37 37 3.46127 1.1715 0.530408 38 38 5.09626 2.11935 0.535042 39 39 4.25828 5.89011 0.112992 40 40 4.35568 3.16573 0.307994 41 41 2.16183 0.603348 0.373345 42 42 0.473491 2.32432 0.248515 43 43 1.82886 1.15684 0.579746 44 44 4.46234 6.44127 0.232558 45 45 4.02406 1.69791 0.555072 46 46 1.83176 3.76436 0.535484 47 47 1.06338 2.40624 0.413575 48 48 5.60504 1.65763 0.432038 49 49 4.03754 3.72138 0.403338 50 50 2.17754 3.0127 0.489564 51 51 3.04953 2.41092 0.116909 52 52 1.27812 1.41927 0.238646 53 53 3.55487 5.30729 0.392416 54 54 0.817096 2.89508 0.170784 55 55 5.15088 5.53343 0.431283 56 56 4.26972 6.13969 0.095416 57 57 0.588475 2.6618 0.117828 58 58 4.81441 4.42255 0.313763 59 59 4.85617 1.4618 0.535316 60 60 2.70297 3.43658 0.21452 61 61 5.08587 6.20338 0.308746 62 62 2.92728 2.68041 0.0994896 
